"DATA (YYYY-MM-DD)","temp_avg"
2020-11-19,"22.3541666666667"
2020-11-20,"20.8541666666667"
2020-11-21,"21.4125"
2020-11-22,"22.4541666666667"
2020-11-23,"21.9875"
2020-11-24,"24.1791666666667"
2020-11-25,"24.5541666666667"
2020-11-26,"26.8375"
2020-11-27,"26.0791666666667"
2020-11-28,"24.6416666666667"
2020-11-29,"26.7708333333333"
2020-11-30,"27.0083333333333"
2020-12-01,"25.8791666666667"
2020-12-02,"24.6375"
2020-12-03,"26.975"
2020-12-04,"27.575"
2020-12-05,"24.7791666666667"
2020-12-06,"23.1041666666667"
2020-12-07,"23.8083333333333"
2020-12-08,"24.5"
2020-12-09,"24.0333333333333"
2020-12-10,"23.4166666666667"
2020-12-11,"24.05"
2020-12-12,"25.6458333333333"
2020-12-13,"24.9625"
2020-12-14,"29.0458333333333"
2020-12-15,"27.275"
2020-12-16,"26.5125"
2020-12-17,"25.5958333333333"
2020-12-18,"26.65"
2020-12-19,"26.1833333333333"
2020-12-20,"27.2708333333333"
2020-12-21,"27.325"
2020-12-22,"24.5916666666667"
2020-12-23,"22.6416666666667"
2020-12-24,"21.4"
2020-12-25,"22.575"
2020-12-26,"23.675"
2020-12-27,"23.7958333333333"
2020-12-28,"24.5208333333333"
2020-12-29,"26.1458333333333"
2020-12-30,"26.55"
2020-12-31,"28.2083333333333"
2021-01-01,"24.9666666666667"
2021-01-02,"23.1958333333333"
2021-01-03,"23.2916666666667"
2021-01-04,"24.6291666666667"
2021-01-05,"25.2625"
2021-01-06,"27.5"
2021-01-07,"27.875"
2021-01-08,"27.4166666666667"
2021-01-09,"26.5083333333333"
2021-01-10,"27.5"
2021-01-11,"27.6375"
2021-01-12,"27.6666666666667"
2021-01-13,"27.0916666666667"
2021-01-14,"26.2375"
2021-01-15,"26.0291666666667"
2021-01-16,"27.8583333333333"
2021-01-17,"28.3625"
2021-01-18,"28.6291666666667"
2021-01-19,"25.8541666666667"
2021-01-20,"25.6833333333333"
2021-01-21,"25.5333333333333"
2021-01-22,"26.0958333333333"
2021-01-23,"27.05"
2021-01-24,"26.1458333333333"
2021-01-25,"26.625"
2021-01-26,"26.925"
2021-01-27,"29.1375"
2021-01-28,"28.6958333333333"
2021-01-29,"28.425"
2021-01-30,"29.0333333333333"
2021-01-31,"29.1666666666667"
2021-02-01,"29.3041666666667"
2021-02-02,"28.4833333333333"
2021-02-03,"27.3916666666667"
2021-02-04,"29.3333333333333"
2021-02-05,"25.3083333333333"
2021-02-06,"21.925"
2021-02-07,"22.2833333333333"
2021-02-08,"21.8583333333333"
2021-02-09,"23.1916666666667"
2021-02-10,"23.5916666666667"
2021-02-11,"24.3416666666667"
2021-02-12,"25.2666666666667"
2021-02-13,"25.8541666666667"
2021-02-14,"26.2458333333333"
2021-02-15,"24.3291666666667"
2021-02-16,"25.0333333333333"
2021-02-17,"25.675"
2021-02-18,"26.7291666666667"
2021-02-19,"25.0208333333333"
2021-02-20,"25.9416666666667"
2021-02-21,"25.1416666666667"
2021-02-22,"24.9166666666667"
2021-02-23,"24.95"
2021-02-24,"26.4125"
2021-02-25,"24.3833333333333"
2021-02-26,"24.5291666666667"
2021-02-27,"24.4208333333333"
2021-02-28,"26.175"
2021-03-01,"25.875"
2021-03-02,"26.1958333333333"
2021-03-03,"26.3791666666667"
2021-03-04,"27.1041666666667"
2021-03-05,"26.6625"
2021-03-06,"26.075"
2021-03-07,"23.2291666666667"
2021-03-08,"23.9583333333333"
2021-03-09,"24.4875"
2021-03-10,"24.3166666666667"
2021-03-11,"24.7666666666667"
2021-03-12,"25.7333333333333"
2021-03-13,"25.9"
2021-03-14,"26.0875"
2021-03-15,"25.8666666666667"
2021-03-16,"25.6625"
2021-03-17,"25.6625"
2021-03-18,"26.6041666666667"
2021-03-19,"26.0625"
2021-03-20,"25.6791666666667"
2021-03-21,"26.05"
2021-03-22,"26.5541666666667"
2021-03-23,"25.1708333333333"
2021-03-24,"24.9625"
2021-03-25,"24.9"
2021-03-26,"26.475"
2021-03-27,"26.8916666666667"
2021-03-28,"26.1083333333333"
2021-03-29,"27.3083333333333"
2021-03-30,"26.2333333333333"
2021-03-31,"23.6333333333333"
2021-04-01,"23.4541666666667"
2021-04-02,"23.6125"
2021-04-03,"22.8541666666667"
2021-04-04,"23.825"
2021-04-05,"22.5625"
2021-04-06,"23.0208333333333"
2021-04-07,"23.075"
2021-04-08,"22.3708333333333"
2021-04-09,"23.8333333333333"
2021-04-10,"23.2291666666667"
2021-04-11,"23.3666666666667"
2021-04-12,"25.4208333333333"
2021-04-13,"23.6833333333333"
2021-04-14,"22.5208333333333"
2021-04-15,"21.3916666666667"
2021-04-16,"22.1375"
2021-04-17,"22.6541666666667"
2021-04-18,"23.2875"
2021-04-19,"23.6166666666667"
2021-04-20,"23.4041666666667"
2021-04-21,"22.4083333333333"
2021-04-22,"20.7125"
2021-04-23,"21.0541666666667"
2021-04-24,"21.1791666666667"
2021-04-25,"22.8416666666667"
2021-04-26,"22.075"
2021-04-27,"22.125"
2021-04-28,"22.425"
2021-04-29,"21.0166666666667"
2021-04-30,"20.2416666666667"
2021-05-01,"20.9041666666667"
2021-05-02,"21.6083333333333"
2021-05-03,"21.0166666666667"
2021-05-04,"21.6625"
2021-05-05,"22.825"
2021-05-06,"22.3583333333333"
2021-05-07,"20.825"
2021-05-08,"19.9416666666667"
2021-05-09,"19.9958333333333"
2021-05-10,"20.1416666666667"
2021-05-11,"20.0291666666667"
2021-05-12,"20.6333333333333"
2021-05-13,"19.8208333333333"
2021-05-14,"19.9125"
2021-05-15,"19.5583333333333"
2021-05-16,"21.1541666666667"
2021-05-17,"21.2"
2021-05-18,"19.6958333333333"
2021-05-19,"20.0375"
2021-05-20,"20.5375"
2021-05-21,"21.925"
2021-05-22,"22.7291666666667"
2021-05-23,"23.725"
2021-05-24,"20.8833333333333"
2021-05-25,"18.7166666666667"
2021-05-26,"19.1166666666667"
2021-05-27,"21.6"
2021-05-28,"22.9375"
2021-05-29,"27.9166666666667"
2021-05-30,"22.4375"
2021-05-31,"20.4583333333333"
2021-06-01,"21.1458333333333"
2021-06-02,"21.8375"
2021-06-03,"21.8375"
2021-06-04,"20.975"
2021-06-05,"22.45"
2021-06-06,"21.8833333333333"
2021-06-07,"20.8125"
2021-06-08,"21.8958333333333"
2021-06-09,"21.9541666666667"
2021-06-10,"21.7625"
2021-06-11,"21.1708333333333"
2021-06-12,"19.6541666666667"
2021-06-13,"18.4083333333333"
2021-06-14,"18.15"
2021-06-15,"18.1"
2021-06-16,"18.7958333333333"
2021-06-17,"18.2416666666667"
2021-06-18,"18.9416666666667"
2021-06-19,"19.0041666666667"
2021-06-20,"23.0625"
2021-06-21,"20.7125"
2021-06-22,"17.8291666666667"
2021-06-23,"19.0916666666667"
2021-06-24,"18.0583333333333"
2021-06-25,"20.7375"
2021-06-26,"19.9208333333333"
2021-06-27,"20.9041666666667"
2021-06-28,"19.45"
2021-06-29,"18.8708333333333"
2021-06-30,"16.8666666666667"
2021-07-01,"15.2083333333333"
2021-07-02,"15.55"
2021-07-03,"17.5625"
2021-07-04,"18.2125"
2021-07-05,"16.925"
2021-07-06,"17.7208333333333"
2021-07-07,"17.925"
2021-07-08,"17.3791666666667"
2021-07-09,"17.9375"
2021-07-10,"18.7916666666667"
2021-07-11,"18.8791666666667"
2021-07-12,"17.8958333333333"
2021-07-13,"19.3125"
2021-07-14,"20.7416666666667"
2021-07-15,"21.2583333333333"
2021-07-16,"20.7208333333333"
2021-07-17,"19.6416666666667"
2021-07-18,"19.7333333333333"
2021-07-19,"18.4958333333333"
2021-07-20,"14.0916666666667"
2021-07-21,"14.4541666666667"
2021-07-22,"16.8791666666667"
2021-07-23,"18.8083333333333"
2021-07-24,"18.2166666666667"
2021-07-25,"19.4833333333333"
2021-07-26,"20.8875"
2021-07-27,"22.025"
2021-07-28,"19.0166666666667"
2021-07-29,"15.8416666666667"
2021-07-30,"14.5291666666667"
2021-07-31,"15.0333333333333"
2021-08-01,"16.9416666666667"
2021-08-02,"16.7208333333333"
2021-08-03,"16.4208333333333"
2021-08-04,"16.6833333333333"
2021-08-05,"17.2041666666667"
2021-08-06,"19.1541666666667"
2021-08-07,"18.9083333333333"
2021-08-08,"20.0125"
2021-08-09,"20.1125"
2021-08-10,"21.0916666666667"
2021-08-11,"19.6791666666667"
2021-08-12,"19.3916666666667"
2021-08-13,"18.9833333333333"
2021-08-14,"18.5"
2021-08-15,"20.1958333333333"
2021-08-16,"20.8625"
2021-08-17,"21.35"
2021-08-18,"22.7166666666667"
2021-08-19,"22.1375"
2021-08-20,"23.075"
2021-08-21,"19.8208333333333"
2021-08-22,"21.3375"
2021-08-23,"23.4291666666667"
2021-08-24,"22.9041666666667"
2021-08-25,"24.1291666666667"
2021-08-26,"27.6"
2021-08-27,"23.3375"
2021-08-28,"21.5208333333333"
2021-08-29,"21.0875"
2021-08-30,"20.3291666666667"
2021-08-31,"19.8391304347826"
2021-09-01,"20.6909090909091"
2021-09-02,"20.9136363636364"
2021-09-03,"23.1136363636364"
2021-09-04,"22.8590909090909"
2021-09-05,"21.7954545454545"
2021-09-06,"20.8045454545455"
2021-09-07,"22.2090909090909"
2021-09-08,"24.2272727272727"
2021-09-09,"24.8818181818182"
2021-09-10,"22.8818181818182"
2021-09-11,"21.8454545454545"
2021-09-12,"22.4909090909091"
2021-09-13,"25.2181818181818"
2021-09-14,"27.8818181818182"
2021-09-15,"25.1863636363636"
2021-09-16,"21.65"
2021-09-17,"20.7181818181818"
2021-09-18,"21.5045454545455"
2021-09-19,"22.0363636363636"
2021-09-20,"25.0863636363636"
2021-09-21,"25.3727272727273"
2021-09-22,"20.05"
2021-09-23,"18.6954545454545"
2021-09-24,"20.1272727272727"
2021-09-25,"20.4227272727273"
2021-09-26,"21.3545454545455"
2021-09-27,"21.0954545454545"
2021-09-28,"24.3590909090909"
2021-09-29,"23.3272727272727"
2021-09-30,"21.8681818181818"
2021-10-01,"22.6954545454545"
2021-10-02,"25.0954545454545"
2021-10-03,"24.5727272727273"
2021-10-04,"24.5727272727273"
2021-10-05,"21.2590909090909"
2021-10-06,"21.6136363636364"
2021-10-07,"22.9636363636364"
2021-10-08,"19.3681818181818"
2021-10-09,"19.8727272727273"
2021-10-10,"19.3818181818182"
2021-10-11,"19.4272727272727"
2021-10-12,"20.5636363636364"
2021-10-13,"22.4454545454545"
2021-10-14,"24.1545454545455"
2021-10-15,"27.2727272727273"
2021-10-16,"24.2545454545455"
2021-10-17,"21.3590909090909"
2021-10-18,"20.2608695652174"
2021-10-19,"19.2291666666667"
2021-10-20,"17.0166666666667"
2021-10-21,"18.9375"
2021-10-22,"20.625"
2021-10-23,"23.8541666666667"
2021-10-24,"25.0416666666667"
2021-10-25,"20.7208333333333"
2021-10-26,"21.725"
2021-10-27,"22.475"
2021-10-28,"22.675"
2021-10-29,"22.0666666666667"
2021-10-30,"21.9625"
2021-10-31,"21.925"
2021-11-01,"21.1708333333333"
2021-11-02,"21.825"
2021-11-03,"22.4875"
2021-11-04,"21.9708333333333"
2021-11-05,"21.85"
2021-11-06,"20.6875"
